"","year","country","co2","female_emp","fertility","gdp_pop","sanitation","internet","mortality","life_exp"
"1",1990,"Belgium",10.63967167,2.511248002088,1.62,88.07565968976,99.5,0.00100674,8.3,76.05195122
"2",1991,"Belgium",11.09099988,5.138999939,1.66,82.6911875,99.5,0.020072645,8,76.19219512
"3",1992,"Belgium",11.14648251,5.93200016,1.65,82.912625,99.5,0.100041027,7.7,76.35121951
"4",1993,"Belgium",10.67503455,5.464000225,1.61,82.85603125,99.5,0.199446059,7.2,76.34536585
"5",1994,"Belgium",11.1051094,5.084000111,1.56,85.65371094,99.5,0.69599469,6.8,76.69170732
"6",1995,"Belgium",11.08115205,5.422999859,1.56,86.65159375,99.5,0.99166299,6.3,76.84073171
"7",1996,"Belgium",11.62383425,5.375999928,1.59,88.10022656,99.5,2.968411647,5.9,77.18731707
"8",1997,"Belgium",11.32885202,5.006000042,1.6,90.48132031,99.5,4.93808091,5.5,77.37073171
"9",1998,"Belgium",11.60191455,4.144000053,1.6,91.90932031,99.5,7.886622701,5.3,77.47317073
"10",1999,"Belgium",11.17302675,5.271999836,1.62,92.11475781,99.5,13.77221446,5,77.6195122
"11",2000,"Belgium",11.2296677,4.195000172,1.67,92.40413281,99.5,29.43169169,4.9,77.72195122
"12",2001,"Belgium",11.13371551,3.959000111,1.67,94.9631875,99.5,31.28839551,4.7,77.97317073
"13",2002,"Belgium",10.3854951,3.762000084,1.65,96.45571875,99.5,46.33,4.5,78.07560976
"14",2003,"Belgium",10.88211417,3.253000021,1.67,97.21395313,99.5,49.97,4.3,78.12926829
"15",2004,"Belgium",10.66129022,3.272000074,1.72,98.37673438,99.5,53.86,4.3,78.87804878
"16",2005,"Belgium",10.35539299,3.407000065,1.76,98.21469531,99.5,55.82,4.1,78.9804878
"17",2006,"Belgium",10.151039,2.960999966,1.8,100.0263906,99.5,59.72,4,79.3804878
"18",2007,"Belgium",9.744777191,2.487999916,1.82,100.6333672,99.5,64.44,3.9,79.78292683
"19",2008,"Belgium",9.751984809,2.194000006,1.85,99.97692188,99.5,66,3.8,79.6804878
"20",2009,"Belgium",9.249615685,2.213000059,1.84,98.2795625,99.5,70,3.7,80.03414634
"21",2010,"Belgium",10.17146522,1.820000052,1.86,99.47985156,99.5,75,3.7,80.18292683
"22",2011,"Belgium",9.046560547,1.860000014,1.81,101.0554141,99.5,81.609996,3.6,80.58536585
"23",2012,"Belgium",8.546478214,1.376000047,1.79,100.8739063,99.5,80.71999055,3.5,80.38536585
"24",2013,"Belgium",8.671352487,1.488000035,1.75,100.5099141,99.5,82.1702,3.4,80.58780488
"25",2014,"Belgium",8.328159898,1.486999989,1.74,101.5698516,99.5,85,3.3,81.28780488
"26",2015,"Belgium",8.51891217296774,1.366999984,1.7,102.6520469,99.5,85.0529,3.2,80.99268293
"27",1990,"France",6.420670907,2.511248002088,1.77,88.07565968976,98.7,0.052777862,7.4,76.6
"28",1991,"France",6.67168905,5.002999783,1.75,73.94390625,98.7,0.140113895,7.1,76.84878049
"29",1992,"France",6.217259025,4.927000046,1.74,75.48394531,98.7,0.279049463,6.7,77.1
"30",1993,"France",6.089252757,4.390999794,1.73,75.62253125,98.7,0.590619383,6.2,77.3
"31",1994,"France",5.699231509,4.232999802,1.73,78.26765625,98.7,0.899867425,5.8,77.64878049
"32",1995,"France",5.864118291,3.789000034,1.74,78.74848438,98.7,1.637947245,5.4,77.75121951
"33",1996,"France",6.280953607,3.421999931,1.75,79.25119531,98.7,2.584033979,5,77.95365854
"34",1997,"France",5.862811599,3.232000113,1.77,81.27984375,98.7,4.255003872,4.8,78.30487805
"35",1998,"France",6.271267469,2.878999949,1.78,83.04315625,98.7,6.319778722,4.6,78.60487805
"36",1999,"France",6.098157837,2.802000046,1.81,84.80354688,98.7,9.125317889,4.5,78.75609756
"37",2000,"France",5.946665463,2.323999882,1.89,85.82660938,98.7,14.30792394,4.4,79.05609756
"38",2001,"France",6.153060599,2.046999931,1.9,85.88100781,98.7,26.32590355,4.3,79.15853659
"39",2002,"France",6.068664472,1.973999977,1.88,86.00682031,98.7,30.18,4.2,79.26097561
"40",2003,"France",6.115998108,2.023000002,1.89,84.75229688,98.7,36.14,4,79.11463415
"41",2004,"France",6.120078568,1.85800004,1.92,87.234,98.7,39.15,3.9,80.16341463
"42",2005,"France",6.099598855,1.552000046,1.94,87.50652344,98.7,42.87,3.8,80.16341463
"43",2006,"France",5.906266386,1.460999966,2,89.17849219,98.7,46.87,3.7,80.81219512
"44",2007,"France",5.76638517,1.059999943,1.98,89.77355469,98.7,66.09,3.6,81.11219512
"45",2008,"France",5.690501415,0.995000005,2.01,88.71028125,98.7,70.68,3.6,81.21463415
"46",2009,"France",5.438356727,1.021000028,2,86.93092969,98.7,71.58,3.5,81.41463415
"47",2010,"France",5.428980862,0.864000022,2.03,88.43140625,98.7,77.28,3.5,81.66341463
"48",2011,"France",5.077911491,0.832000017,2.01,90.19367188,98.7,77.81999899,3.5,82.11463415
"49",2012,"France",5.075063887,0.707000017,2.01,90.24054688,98.7,81.44,3.4,81.96829268
"50",2013,"France",5.062174035,0.704999983,1.99,90.9225,98.7,81.9198,3.4,82.2195122
"51",2014,"France",4.573182147,0.713999987,2.01,92.27071094,98.7,83.75,3.4,82.67073171
"52",2015,"France",8.51891217296774,0.65200001,1.96,93.19142969,98.7,78.01,3.5,82.27317073
"53",1990,"Germany",8.51891217296774,2.511248002088,1.45,88.07565968976,99.2,0.125892223,7,75.2277561
"54",1991,"Germany",11.62264617,2.927999973,1.33,69.29953125,99.2,0.250274153,6.5,75.3195122
"55",1992,"Germany",11.06332025,2.874000072,1.29,71.77390625,99.2,0.43528529,6.2,75.8195122
"56",1993,"Germany",10.81424893,2.772000074,1.28,72.58783594,99.2,0.463635096,5.9,75.87073171
"57",1994,"Germany",10.62839192,2.628000021,1.24,74.6210625,99.2,0.922541043,5.5,76.27073171
"58",1995,"Germany",10.57946663,2.655999899,1.25,75.61885938,99.2,1.837737754,5.3,76.42195122
